Lemma;Cx;Cx-Prs;Verb_type1;Contingency;Contingency-Coarse;Intention;Intention-Coarse;Link_to_t0;Link_to_t0-Coarse;Temporal_proximityA;Temporal_proximityA-ORD;Speaker_certaintyD;Speaker_certaintyD-ORD;Person_animacy
give;will;W-3rd;change of possession;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-inanimate
give;will;W-3rd;change of possession;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;2_;2_;3rd-inanimate
be PASSIVE;will;W-3rd;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;2_;2_;3rd-inanimate
be able to;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
end;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;3_unknown;3_unknown;2_;2_;3rd-inanimate
be DESCRIPT;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;2_;2_;3rd-inanimate
break;will;W-3rd;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;1_imminent;1_imminent;3_;3_;3rd-inanimate
improve;will;W-3rd;change of state;contingent (any/anyone);contingent ;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be PASSIVE;will;W-3rd;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;4_neutral;4_neutral;1_;1_;3rd-inanimate
help;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-inanimate
heal;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
come;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
sort;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
settle;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
have;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
fall prey;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
sort;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
dry;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
be DESCRIPT;will;W-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
be PASSIVE;will;W-3rd;communication;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
be PASSIVE;will;W-3rd;communication;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
exist;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;contingent (X then Y);contingent ;speaker-intention;intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;2_;2_;3rd-inanimate
feature;will;W-3rd;existence;contingent (when-clause);contingent ;speaker-intention;intentional;detached;detached;5_distal;5_distal;2_;2_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;2_;2_;3rd-inanimate
leave alone;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
involve;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;2_;2_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;subject-intention;intentional;attached (decision taken);attached ;4_neutral;4_neutral;1_;1_;3rd-inanimate
continue;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;2_;2_;3rd-inanimate
be EXIST;will;W-3rd;existence;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
take;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
take;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (within discourse);attached ;1_imminent;1_imminent;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;2_;2_;3rd-inanimate
come;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
contain;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;4_neutral;4_neutral;2_;2_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;subject-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;3rd-inanimate
continue;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;2_;2_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;5_distal;5_distal;2_;2_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;3rd-inanimate
remain;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;contingent (if-clause);contingent ;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;3_;3_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be EXIST;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;2_;2_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
come;will;W-3rd;motion;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;3rd-inanimate
be ING;will;W-3rd;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;2_;2_;3rd-inanimate
arrive;will;W-3rd;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
look;will;W-3rd;perception;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
see;will;W-3rd;perception;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;will;W-3rd;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;2_;2_;3rd-inanimate
wait;will;W-3rd;psych-verbs;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
affect;will;W-3rd;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
go;will;W-3rd;social interaction;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;3rd-inanimate
prove;will;W-3rd;social interaction;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
